Date,,Basantpur,Kelo,Kurubhata,Paramanpur,Sundargarh,Hirakud inflow ,rainfall,tavg
6/1/2000,6,48.58,0,0,0,1.978,39.6763,1.896727658,31.00812025
6/2/2000,6,50.28,0,0,0,2.966,0,1.223007722,32.67513291
6/3/2000,6,42.24,0,0,0,2.755,0,2.578513481,32.5231519
6/4/2000,6,44,0,2.854,0,2.6,0,1.107179747,31.62197468
6/5/2000,6,46.83,0,3.271,0,2.225,0,1.633354177,30.1929557
6/6/2000,6,43.32,0,3.081,0,9.546,0,7.449933101,29.13406962
6/7/2000,6,54.29,0,3.049,0,7.771,35.2867,18.11494595,27.37312342
6/8/2000,6,55.8,0,2.953,0,32.16,0,3.258360506,27.9815538
6/9/2000,6,128.7,0,3.005,0,60.35,0,1.435736203,28.55534494
6/10/2000,6,73.38,0,31.788,0,43.2,0,0.7442567089,28.9953481
6/11/2000,6,83,0,37,0,30,210.644,2.590447152,29.72157911
6/12/2000,6,78.97,0,35.51,0,26.61,160.263,4.517363987,30.18637658
6/13/2000,6,92.1,0,28.16,0,14.64,107.758,1.997236013,30.22384177
6/14/2000,6,91.54,0,19.48,0,12.8,152.333,5.307043291,30.08147785
6/15/2000,6,95,0,15,0,12,155.732,6.933156772,29.25870886
6/16/2000,6,91.99,4,50.71,0,50.53,325.822,14.98044684,29.14652532
6/17/2000,6,145,110,127.3,0,71.68,255.05,4.599387405,29.12767089
6/18/2000,6,119,10,60,0,95,315.541,16.1484588,27.69696203
6/19/2000,6,95.75,2,43.68,0,68.22,352.329,9.421392658,27.12677848
6/20/2000,6,101.7,1,56.74,0,102.1,240.012,8.283097089,27.23930063
6/21/2000,6,160.6,37.47,140,0,128.5,369.548,10.17185538,27.45561076
6/22/2000,6,293.5,30.55,84.65,0,175.7,350.375,8.39211519,27.04575949
6/23/2000,6,261.8,5.998,90.2,0,129.9,508.571,1.395204367,27.77641456
6/24/2000,6,214.7,5.307,63.77,0,85.03,635.812,0.225246962,29.20867405
6/25/2000,6,180,1.5,45,0,50,390.335,1.551237089,29.83671519
6/26/2000,6,144.8,1.277,32.13,0,58.36,466.714,2.754836646,29.87156646
6/27/2000,6,120.9,0.909,30.29,0,65.64,356.181,6.301211139,29.13718987
6/28/2000,6,118.8,23,34.2,0,124.98,131.745,12.85891766,28.44352532
6/29/2000,6,110.8,11.29,36.71,0,281.2,402.314,8.920344684,27.82578797
6/30/2000,6,147.1,5.71,34.06,0,145.5,445.275,3.926849051,28.01738291
7/1/2000,7,244.8,1.603,29.52,0,88.63,389.683,5.031834494,28.25867722
7/2/2000,7,235,1.55,29,0,50,310.812,1.532561962,29.23309177
7/3/2000,7,220.2,1.502,22,0,31,253.521,7.320383734,28.9556962
7/4/2000,7,228.2,5.814,29.06,0,23.61,278.102,1.901543797,28.82556013
7/5/2000,7,240.4,1.223,19.42,0,22.73,178.331,1.926646709,29.74384494
7/6/2000,7,244,0.966,12.91,0,14.71,157.318,0.7937277848,30.31388608
